area_sqft,num_rooms,space_type,style,material,add_3d,add_turnkey,add_smart_home,final_cost
1921,6,commercial,scandinavian,standard,1,0,1,2705720
2707,7,residential,minimalist,custom_wood,0,0,0,3898080
1237,5,hospitality,royal,premium_tiles,0,1,0,2604924
2236,6,hospitality,modern,italian_marble,0,0,0,4628520
897,3,commercial,traditional,custom_wood,0,1,1,2085760
1327,5,hospitality,scandinavian,italian_marble,1,1,0,2896890
3413,10,commercial,modern,premium_tiles,1,0,0,5681450
1857,3,residential,traditional,premium_tiles,0,1,0,3442600
2166,8,commercial,minimalist,italian_marble,1,0,1,4068800
2054,5,residential,royal,italian_marble,0,1,0,4536640
1068,10,residential,scandinavian,italian_marble,1,0,1,2092400
1912,6,commercial,royal,italian_marble,0,0,1,4594080
2175,7,commercial,scandinavian,italian_marble,0,0,0,4306500
1266,4,commercial,contemporary,custom_wood,1,0,1,2398160
